date,state,dose,daily_vac
2021-03-04,Negeri Sembilan,1st Dose,1230
2021-03-04,Pahang,1st Dose,1131
2021-03-04,Perak,1st Dose,1026
2021-03-04,Perlis,1st Dose,298
2021-03-04,Penang,1st Dose,1122
2021-03-04,Sabah,1st Dose,1763
2021-03-04,Sarawak,1st Dose,391
2021-03-04,Selangor,1st Dose,2265
2021-03-04,Terengganu,1st Dose,4
2021-03-04,Kuala Lumpur,1st Dose,2433
2021-03-04,Labuan,1st Dose,209
2021-03-04,Putrajaya,1st Dose,548
2021-03-05,Johor,1st Dose,337
2021-03-05,Kedah,1st Dose,137
2021-03-05,Kelantan,1st Dose,742
2021-03-05,Melaka,1st Dose,573
2021-03-05,Negeri Sembilan,1st Dose,536
2021-03-05,Pahang,1st Dose,2058
2021-03-05,Perak,1st Dose,1019
2021-03-05,Perlis,1st Dose,330
2021-03-05,Penang,1st Dose,1033
2021-03-05,Sabah,1st Dose,3090
2021-03-05,Sarawak,1st Dose,1333
2021-03-05,Selangor,1st Dose,2469
2021-03-05,Terengganu,1st Dose,62
2021-03-05,Kuala Lumpur,1st Dose,253
2021-03-05,Labuan,1st Dose,165
2021-03-05,Putrajaya,1st Dose,236
2021-03-06,Johor,1st Dose,718
2021-03-06,Kedah,1st Dose,109
2021-03-06,Kelantan,1st Dose,0
2021-03-06,Melaka,1st Dose,0
2021-03-06,Negeri Sembilan,1st Dose,0
2021-03-06,Pahang,1st Dose,3245
2021-03-06,Perak,1st Dose,786
2021-03-06,Perlis,1st Dose,0
2021-03-06,Penang,1st Dose,121
2021-03-06,Sabah,1st Dose,3937
2021-03-06,Sarawak,1st Dose,3647
2021-03-06,Selangor,1st Dose,3087
2021-03-06,Terengganu,1st Dose,106
2021-03-06,Kuala Lumpur,1st Dose,0
2021-03-06,Labuan,1st Dose,83
2021-03-06,Putrajaya,1st Dose,2
2021-03-07,Johor,1st Dose,1210
2021-03-07,Kedah,1st Dose,857
2021-03-07,Kelantan,1st Dose,223
2021-03-07,Melaka,1st Dose,0
2021-03-07,Negeri Sembilan,1st Dose,0
2021-03-07,Pahang,1st Dose,661
2021-03-07,Perak,1st Dose,3
2021-03-07,Perlis,1st Dose,0
2021-03-07,Penang,1st Dose,120
2021-03-07,Sabah,1st Dose,2369
2021-03-07,Sarawak,1st Dose,4340
2021-03-07,Selangor,1st Dose,354
2021-03-07,Terengganu,1st Dose,2355
2021-03-07,Kuala Lumpur,1st Dose,0
2021-03-07,Labuan,1st Dose,100
2021-03-07,Putrajaya,1st Dose,0
2021-03-08,Johor,1st Dose,3035
2021-03-08,Kedah,1st Dose,3113
2021-03-08,Kelantan,1st Dose,1205
2021-03-08,Melaka,1st Dose,100
2021-03-08,Negeri Sembilan,1st Dose,1125
2021-03-08,Pahang,1st Dose,1053
2021-03-08,Perak,1st Dose,2249
2021-03-08,Perlis,1st Dose,840
2021-03-08,Penang,1st Dose,1200
2021-03-08,Sabah,1st Dose,2055
2021-03-08,Sarawak,1st Dose,3172
2021-03-08,Selangor,1st Dose,3009
2021-03-08,Terengganu,1st Dose,2235
2021-03-08,Kuala Lumpur,1st Dose,2498
2021-03-08,Labuan,1st Dose,32
2021-03-08,Putrajaya,1st Dose,285
2021-03-09,Johor,1st Dose,2129
2021-03-09,Kedah,1st Dose,2296
2021-03-09,Kelantan,1st Dose,1019
2021-03-09,Melaka,1st Dose,956
2021-03-09,Negeri Sembilan,1st Dose,2412
2021-03-09,Pahang,1st Dose,949
2021-03-09,Perak,1st Dose,2911
2021-03-09,Perlis,1st Dose,1102
2021-03-09,Penang,1st Dose,1376
2021-03-09,Sabah,1st Dose,3013
2021-03-09,Sarawak,1st Dose,2125
2021-03-09,Selangor,1st Dose,3899
2021-03-09,Terengganu,1st Dose,2192
2021-03-09,Kuala Lumpur,1st Dose,3293
2021-03-09,Labuan,1st Dose,26
2021-03-09,Putrajaya,1st Dose,370
2021-03-10,Johor,1st Dose,1641
2021-03-10,Kedah,1st Dose,2582
2021-03-10,Kelantan,1st Dose,798
2021-03-10,Melaka,1st Dose,895
2021-03-10,Negeri Sembilan,1st Dose,2364
2021-03-10,Pahang,1st Dose,1095
2021-03-10,Perak,1st Dose,1523
2021-03-10,Perlis,1st Dose,1086
2021-03-10,Penang,1st Dose,2143
2021-03-10,Sabah,1st Dose,2913
2021-03-10,Sarawak,1st Dose,699
2021-03-10,Selangor,1st Dose,4877
2021-03-10,Terengganu,1st Dose,1826
2021-03-10,Kuala Lumpur,1st Dose,3813
2021-03-10,Labuan,1st Dose,126
2021-03-10,Putrajaya,1st Dose,395
2021-03-11,Johor,1st Dose,2107
2021-03-11,Kedah,1st Dose,1643
2021-03-11,Kelantan,1st Dose,357
2021-03-11,Melaka,1st Dose,869
2021-03-11,Negeri Sembilan,1st Dose,59
2021-03-11,Pahang,1st Dose,1883
2021-03-11,Perak,1st Dose,3719
2021-03-11,Perlis,1st Dose,763
2021-03-11,Penang,1st Dose,2892
2021-03-11,Sabah,1st Dose,1960
2021-03-11,Sarawak,1st Dose,18
2021-03-11,Selangor,1st Dose,5092
2021-03-11,Terengganu,1st Dose,0
2021-03-11,Kuala Lumpur,1st Dose,4755
2021-03-11,Labuan,1st Dose,2
2021-03-11,Putrajaya,1st Dose,397
2021-03-12,Johor,1st Dose,721
2021-03-12,Kedah,1st Dose,714
2021-03-12,Kelantan,1st Dose,0
2021-03-12,Melaka,1st Dose,608
2021-03-12,Negeri Sembilan,1st Dose,1401
2021-03-12,Pahang,1st Dose,2535
2021-03-12,Perak,1st Dose,7334
2021-03-12,Perlis,1st Dose,585
2021-03-12,Penang,1st Dose,2867
2021-03-12,Sabah,1st Dose,1467
2021-03-12,Sarawak,1st Dose,897
2021-03-12,Selangor,1st Dose,3753
2021-03-12,Terengganu,1st Dose,0
2021-03-12,Kuala Lumpur,1st Dose,3143
2021-03-12,Labuan,1st Dose,6
2021-03-12,Putrajaya,1st Dose,92
2021-03-13,Johor,1st Dose,1571
2021-03-13,Kedah,1st Dose,568
2021-03-13,Kelantan,1st Dose,0
2021-03-13,Melaka,1st Dose,230
2021-03-13,Negeri Sembilan,1st Dose,14
2021-03-13,Pahang,1st Dose,3301
2021-03-13,Perak,1st Dose,3237
2021-03-13,Perlis,1st Dose,216
2021-03-13,Penang,1st Dose,805
2021-03-13,Sabah,1st Dose,2927
2021-03-13,Sarawak,1st Dose,1728
2021-03-13,Selangor,1st Dose,2463
2021-03-13,Terengganu,1st Dose,2
2021-03-13,Kuala Lumpur,1st Dose,0
2021-03-13,Labuan,1st Dose,0
2021-03-13,Putrajaya,1st Dose,0
2021-03-14,Johor,1st Dose,1138
2021-03-14,Kedah,1st Dose,1432
2021-03-14,Kelantan,1st Dose,72
2021-03-14,Melaka,1st Dose,0
2021-03-14,Negeri Sembilan,1st Dose,0
2021-03-14,Pahang,1st Dose,202
2021-03-14,Perak,1st Dose,1369
2021-03-14,Perlis,1st Dose,0
2021-03-14,Penang,1st Dose,505
2021-03-14,Sabah,1st Dose,2940
2021-03-14,Sarawak,1st Dose,1068
2021-03-14,Selangor,1st Dose,547
2021-03-14,Terengganu,1st Dose,1036
2021-03-14,Kuala Lumpur,1st Dose,1
2021-03-14,Labuan,1st Dose,0
2021-03-14,Putrajaya,1st Dose,0
2021-03-15,Johor,1st Dose,1797
2021-03-15,Kedah,1st Dose,2646
2021-03-15,Kelantan,1st Dose,466
2021-03-15,Melaka,1st Dose,288
2021-03-15,Negeri Sembilan,1st Dose,699
2021-03-15,Pahang,1st Dose,200
2021-03-15,Perak,1st Dose,1647
2021-03-15,Perlis,1st Dose,472
2021-03-15,Penang,1st Dose,1834
2021-03-15,Sabah,1st Dose,4210
2021-03-15,Sarawak,1st Dose,720
2021-03-15,Selangor,1st Dose,2521
2021-03-15,Terengganu,1st Dose,821
2021-03-15,Kuala Lumpur,1st Dose,1732
2021-03-15,Labuan,1st Dose,0
2021-03-15,Putrajaya,1st Dose,342
2021-03-16,Johor,1st Dose,1435
2021-03-16,Kedah,1st Dose,2678
2021-03-16,Kelantan,1st Dose,663
2021-03-16,Melaka,1st Dose,835
2021-03-16,Negeri Sembilan,1st Dose,1628
2021-03-16,Pahang,1st Dose,407
2021-03-16,Perak,1st Dose,4746
2021-03-16,Perlis,1st Dose,797
2021-03-16,Penang,1st Dose,2041
2021-03-16,Sabah,1st Dose,3599
2021-03-16,Sarawak,1st Dose,538
2021-03-16,Selangor,1st Dose,3163
2021-03-16,Terengganu,1st Dose,779
2021-03-16,Kuala Lumpur,1st Dose,1950
2021-03-16,Labuan,1st Dose,0
2021-03-16,Putrajaya,1st Dose,218
2021-03-17,Johor,1st Dose,858
2021-03-17,Kedah,1st Dose,1639
2021-03-17,Kelantan,1st Dose,1363
2021-03-17,Melaka,1st Dose,798
2021-03-17,Negeri Sembilan,1st Dose,1470
2021-03-17,Pahang,1st Dose,643
2021-03-17,Perak,1st Dose,2832
2021-03-17,Perlis,1st Dose,794
2021-03-17,Penang,1st Dose,1740
2021-03-17,Sabah,1st Dose,2513
2021-03-17,Sarawak,1st Dose,174
2021-03-17,Selangor,1st Dose,3928
2021-03-17,Terengganu,1st Dose,1
2021-03-17,Kuala Lumpur,1st Dose,1836
2021-03-17,Labuan,1st Dose,0
2021-03-17,Putrajaya,1st Dose,210
2021-03-18,Johor,1st Dose,1388
2021-03-18,Kedah,1st Dose,459
2021-03-18,Kelantan,1st Dose,715
2021-03-18,Melaka,1st Dose,589
2021-03-18,Negeri Sembilan,1st Dose,1051
2021-03-18,Pahang,1st Dose,909
2021-03-18,Perak,1st Dose,2921
2021-03-18,Perlis,1st Dose,723
2021-03-18,Penang,1st Dose,1455
2021-03-18,Sabah,1st Dose,2024
2021-03-18,Sarawak,1st Dose,98
2021-03-18,Selangor,1st Dose,3616
2021-03-18,Terengganu,1st Dose,0
2021-03-18,Kuala Lumpur,1st Dose,1359
2021-03-18,Labuan,1st Dose,0
2021-03-18,Putrajaya,1st Dose,8
2021-03-19,Johor,1st Dose,18
2021-03-19,Kedah,1st Dose,300
2021-03-19,Kelantan,1st Dose,0
2021-03-19,Melaka,1st Dose,175
